"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"80 56604675900 (i) on (i)","Mishra, Meha Kohli","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"81 56489816500 (i) on (i)","Mittal, Abhineet","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"82 56491121200 (i) on (i)","Moolchandani, Kanta","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"83 57878558900 (i) on (i)","Nasim, Md Aqeel","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"84 57189070723 (i) on (i)","Parida, Ashish Ranjan","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"85 57435026000 (i) on (i)","Priya, Shubhangi","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"86 57874071500 (i) on (i)","Ramesh, Vishnu K.","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"87 57734163400 (i) on (i)","Sharma, Hitesh","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"88 57742122500 (i) on (i)","Singh, Abhishek","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"89 57224584023 (i) on (i)","Singh, Kushall Pal","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"90 57668239500 (i) on (i)","Sinha, Sweta","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"91 57320536500 (i) on (i)","Srivastava, Ranjan","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"92 57225720426 (i) on (i)","Verma, Abhishek","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"93 57223084003 (i) on (i)","Vinod Tapar, Archit","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"94 57225778862 (i) on (i)","Yadav, Shalini","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
